movie,production_budget,domestic_gross,worldwide_gross,Profit,Percent_Profit,Release_Month,Release_Year
Underworld,22000000,51970690,95708457,73708457,3.350384409090909,Sep,2003
The Net,22000000,50621733,110521733,88521733,4.023715136363636,Jul,1995
Diary of a Wimpy Kid: Dog Days,22000000,49008662,77229695,55229695,2.510440681818182,Aug,2012
I Am Sam,22000000,40270895,92542418,70542418,3.2064735454545454,Dec,2001
Derailed,22000000,36020063,57520063,35520063,1.614548318181818,Nov,2005
The Informant!,22000000,33316821,41771168,19771168,0.8986894545454546,Sep,2009
Delivery Man,22000000,30659817,70536870,48536870,2.2062213636363635,Nov,2013
"Hail, Caesar!",22000000,30080225,64160680,42160680,1.9163945454545455,Feb,2016
Jay and Silent Bob Strike Back,22000000,30059386,33762400,11762400,0.5346545454545455,Aug,2001
Shadowlands,22000000,25842377,25842377,3842377,0.1746535,Dec,1993
Traitor,22000000,23530831,27882226,5882226,0.2673739090909091,Aug,2008
Deuce Bigalow: European Gigolo,22000000,22400154,45273464,23273464,1.0578847272727272,Aug,2005
Diary of a Wimpy Kid: The Long Haul,22000000,20738724,35609577,13609577,0.6186171363636364,May,2017
Mad Money,22000000,20668843,25044057,3044057,0.13836622727272727,Jan,2008
Homefront,22000000,20158492,51695362,29695362,1.3497891818181817,Nov,2013
Igor,22000000,19528602,31013349,9013349,0.40969768181818184,Sep,2008
Saving Silverman,22000000,19351569,25873142,3873142,0.1760519090909091,Feb,2001
Summer of Sam,22000000,19288130,19288130,-2711870,-0.12326681818181819,Jul,1999
The Glass House,22000000,17951431,22861785,861785,0.03917204545454545,Sep,2001
The Transporter Refueled,22000000,16029670,69698495,47698495,2.168113409090909,Sep,2015
The Island,22000000,15716828,15716828,-6283172,-0.2855987272727273,Jun,1980
Josie and the Pussycats,22000000,14252830,14252830,-7747170,-0.35214409090909093,Apr,2001
Hit & Run,22000000,13749300,17216955,-4783045,-0.21741113636363638,Aug,2012
The Little Vampire,22000000,13555988,13555988,-8444012,-0.38381872727272726,Oct,2000
I Heart Huckabees,22000000,12784713,20034713,-1965287,-0.08933122727272727,Oct,2004
"Roman J. Israel, Esq.",22000000,11962712,12967012,-9032988,-0.41059036363636364,Nov,2017
Out of the Furnace,22000000,11330849,15434375,-6565625,-0.2984375,Dec,2013
RoboCop 3,22000000,10696210,10696210,-11303790,-0.5138086363636364,Nov,1993
Dudley Do-Right,22000000,9818792,9818792,-12181208,-0.5536912727272727,Aug,1999
Just Getting Started,22000000,6069605,6756412,-15243588,-0.6928903636363636,Dec,2017
Megiddo: Omega Code 2,22000000,6047691,6047691,-15952309,-0.7251049545454545,Sep,2001
Darling Lili,22000000,5000000,5000000,-17000000,-0.7727272727272727,Jan,1970
The Libertine,22000000,4835065,9448623,-12551377,-0.5705171363636363,Nov,2005
Zwartboek,22000000,4398532,27238354,5238354,0.238107,Apr,2007
Before I Go to Sleep,22000000,3242457,19563579,-2436421,-0.11074640909090909,Oct,2014
Stone,22000000,1810078,4065020,-17934980,-0.8152263636363636,Oct,2010
Joyeux NoÃ«l,22000000,1054361,23134075,1134075,0.051548863636363636,Mar,2006
Sorcerer,21600000,12000000,12005968,-9594032,-0.44416814814814815,Jun,1977
MoliÃ¨re,21600000,635733,791154,-20808846,-0.9633725,Jul,2007
Michael Clayton,21500000,49033882,92987651,71487651,3.325007023255814,Oct,2007
Arlington Road,21500000,24419219,24419219,2919219,0.13577762790697676,Jul,1999
My Fellow Americans,21500000,22331846,22331846,831846,0.03869051162790697,Dec,1996
To Rome with Love,21500000,16684352,74326015,52826015,2.457023953488372,Jun,2012
Silver Linings Playbook,21000000,132092958,236412453,215412453,10.257735857142857,Nov,2012
Blockers,21000000,60311495,94045328,73045328,3.4783489523809523,Apr,2018
Pet Sematary,21000000,54724696,109501146,88501146,4.214340285714286,Apr,2019
"South Park: Bigger, Longer & Uncut",21000000,52037603,52037603,31037603,1.4779810952380952,Jun,1999
Firefox,21000000,45785720,45785720,24785720,1.180272380952381,Jun,1982
Death at a Funeral,21000000,42739347,48977233,27977233,1.3322491904761904,Apr,2010
Teenage Mutant Ninja Turtles III,21000000,42273609,42273609,21273609,1.013029,Mar,1993
Hardball,21000000,40222729,43728560,22728560,1.082312380952381,Sep,2001
For Colored Girls,21000000,37729698,38017873,17017873,0.8103749047619048,Nov,2010
Freedom Writers,21000000,36605602,43632609,22632609,1.0777432857142857,Jan,2007
Kidnap,21000000,30718107,34836080,13836080,0.6588609523809524,Aug,2017
The Transporter,21000000,25296447,43928932,22928932,1.0918539047619047,Oct,2002
Never Back Down,21000000,24850922,39319801,18319801,0.8723714761904762,Mar,2008
Tinker Tailor Soldier Spy,21000000,24149393,81452811,60452811,2.8787052857142856,Dec,2011
Victoria and Abdul,21000000,22245070,68271146,47271146,2.251006952380952,Sep,2017
The Bachelor,21000000,21731001,36882378,15882378,0.7563037142857143,Nov,1999
The Rage: Carrie 2,21000000,17760244,17760244,-3239756,-0.15427409523809524,Mar,1999
Swing Vote,21000000,16289867,17589867,-3410133,-0.1623872857142857,Aug,2008
Away We Go,21000000,9451946,10108016,-10891984,-0.5186659047619048,Jun,2009
Moonlight Mile,21000000,6830957,6830957,-14169043,-0.6747163333333334,Sep,2002
The Beaver,21000000,970816,5046038,-15953962,-0.7597124761904762,May,2011
Bitter Harvest,21000000,557241,606162,-20393838,-0.9711351428571429,Feb,2017
Molly,21000000,17396,17396,-20982604,-0.9991716190476191,Oct,1999
eXistenZ,20700000,2840417,2840417,-17859583,-0.8627817874396135,Apr,1999
The Best Little Whorehouse in Texas,20500000,69701637,69701637,49201637,2.4000798536585366,Jul,1982
